"ID_Lesion","Zona_Dolor","Patologia_Comun_Asociada","Mecanismo_Agravante_Biomecanico","Patrones_Movimiento_Bloqueados","Ejercicios_Bandera_Roja","Alternativas_Seguras_Recomendadas","Regla_de_Mutacion_Algoritmica"
"INJ_LUMB_01","Lumbar / Espalda Baja","Protrusión/Hernia Discal, Lumbalgia Inespecífica","Compresión axial combinada con flexión espinal repetitiva, generando fuerzas de cizallamiento.","Flexión espinal activa aislada; Carga compresiva axial máxima en bipedestación.","Sentadilla Trasera pesada, Peso Muerto Convencional, Sit-ups/Crunches, Extensiones Lumbares tipo Superman.","McGill Big 3 (Curl-up modificado, Plancha lateral, Bird-Dog), Sentadilla Búlgara, Hip Thrust.","IF [Lumbar] == TRUE -> SET [Carga_Axial_Pesada] = NO; SWAP FOR"
"INJ_SHLD_01","Hombro","Síndrome de Pinzamiento, Tendinopatía Manguito Rotador","Abducción o elevación del húmero combinada con rotación interna forzada bajo acromion.","Empuje vertical pesado sobre cabeza; Tracción vertical tras nuca; Rotación interna forzada.","Press Militar estricto, Remo al Cuello (Upright Row), Jalón tras nuca, Fondos profundos (Bench Dips).","Press Landmine asimétrico, Face Pulls, Elevaciones laterales en plano escapular (Scaption).","IF [Hombro] == TRUE -> SET [Empuje_Vertical] = NO; SWAP [Press Militar] FOR [Face Pulls]"
"INJ_KNEE_01","Rodilla","Síndrome de Dolor Patelofemoral (PFPS), Condromalacia","Fuerzas patelofemorales hiperbólicas durante flexión profunda en cadena cerrada o extensión terminal abierta.","Flexión rodilla cadena cerrada >90°; Extensión rodilla cadena abierta 0°-30°.","Sentadilla Profunda de alto volumen, Extensión de Piernas (Leg Ext) rango terminal, Zancadas profundas.","Sentadilla al cajón (Box Squat alta), Puentes de glúteo, Elevación pierna recta supino.","IF == TRUE -> SET < 90; SWAP [Leg Extension] FOR [Puente Gluteo]"
"INJ_ELBW_01","Codo Lateral","Epicondilitis Lateral (Codo de Tenista)","Tensión excéntrica repetitiva sobre extensores del antebrazo, maximizada con codo bloqueado.","Agarre pronado pesado con codo extendido; Sobrecarga excéntrica muñeca.","Dominadas pronadas (Pull-ups), Curl Bíceps invertido, Extensiones tríceps codo bloqueado.","Curl de Bíceps Martillo, Remadas invertidas agarre neutro, Flexiones en nudillos.","IF [Codo_Lat] == TRUE -> SET [Agarre_Pronado] = NO; SWAP [Pull-ups] FOR"
"INJ_HIP_01","Cadera (Frontal/Ingle)","Pinzamiento Femoroacetabular (FAI), Desgarro Labrum","Choque óseo durante flexión profunda combinada con rotación interna y aducción.","Flexión cadera > 90° cerrados; Impacto pliométrico severo sobre pelvis.","Sentadilla Profunda postura estrecha, Prensa Piernas profunda, Saltos al cajón.","Hip Thrusts, Peso Muerto Rumano (RDL) corto, Planchas laterales.","IF [FAI] == TRUE -> LIMIT [Flexion_Cadera] < 90; SWAP FOR"
"INJ_HIP_02","Cadera (Lateral/Externa)","Dolor Trocantérico Mayor (GTPS), Bursitis Glútea","Compresión del tendón/bursa por la banda iliotibial durante aducción de cadera bajo carga.","Aducción de cadera bajo carga o estiramiento cruzado; Apoyo unipodal asimétrico forzado.","Zancadas Cruzadas (Curtsy Lunges), Clamshells rango completo, Sentadilla a una pierna (Pistol).","Puentes de glúteo bilaterales, Abducciones isométricas neutras, Sentadilla paralela.","IF == TRUE -> SET [Aduccion_Cargada] = NO; SWAP [Curtsy Lunge] FOR [Puente Gluteo]"
"INJ_NECK_01","Cuello / Cervical","Radiculopatía Cervical, Dolor Mecánico","Compresión axial directa sobre vértebras superiores o tensión extrema en flexión/extensión del cuello.","Carga axial sobre trapecios altos; Tracción craneal pasiva o activa.","Sentadilla Trasera Barra Alta (High Bar), Encogimientos de hombros pesados, Sit-ups tirando de nuca.","Sentadilla Goblet, Elevación lateral estricta, Plancha frontal neutra.","IF [Cuello] == TRUE -> SET [Carga_Axial_Cervical] = NO; SWAP FOR"
"INJ_WRST_01","Muñeca / Mano","Túnel Carpiano, Lesión TFCC (Lado cubital)","Extensión forzada de muñeca bajo carga de compresión o rotación rígida (ej. barra recta).","Empuje palmas planas en extensión 90°; Supinación/Pronación bloqueada bajo carga máxima.","Flexiones tradicionales (Push-ups) en suelo, Curl con barra recta pesada, Press Banca barra agarre ancho.","Flexiones sobre mancuernas (muñeca neutra), Curl de Bíceps Martillo, Press con mancuernas neutro.","IF [Muñeca] == TRUE -> SET [Extension_Palmar_90] = NO; SWAP [Push-ups] FOR [Push-ups en Agarres]"
"INJ_ANKL_01","Tobillo / Tendón Aquiles","Tendinopatía Aquílea, Esguince Crónico","Sobrecarga excéntrica rápida del tríceps sural o absorción de impacto elástico.","Pliometría de tren inferior; Rebotes repetitivos; Dorsiflexión extrema bajo carga.","Saltos al cajón (Box Jumps), Saltos dobles comba, Elevación gemelo desde déficit profundo, Correr en cinta inclinada.","Ciclismo estático, Remo ergómetro, Elevación de gemelos isométrica controlada.","IF [Aquiles] == TRUE -> SET [Pliometria_Piernas] = NO; SWAP FOR [Ciclismo Estatico]"
"INJ_FOOT_01","Pie (Planta) / Tibia","Fascitis Plantar, Síndrome Tibial Medial","Estrés tensil repetitivo en la fascia plantar y el arco del pie durante el despegue/aterrizaje.","Carrera de impacto repetitivo; Saltos continuos descalzo o calzado blando.","Sprints, Saltos a la comba (Jump Rope), Zancadas con salto (Jumping Lunges).","Prensa de piernas pie completo apoyado, Natación, Curl de isquios tumbado.","IF [Fascitis] == TRUE -> SET [Impacto_Plantar] = NO; SWAP FOR [Prensa de Piernas]"
