ID_Arquetipo,Nombre_Comercial,Dias_Por_Semana,Nivel_Experiencia_Requerido,Objetivo_Principal,Perfil_Psicografico
ARQ_01_BUSY_PRO,Ejecutivo Ocupado / Recomposición,3,1 al 3,"Pérdida de Grasa, Salud General","Poco tiempo, alto estrés profesional. Busca eficiencia metabólica y maximización de la adherencia mediante alta frecuencia sistémica."
ARQ_02_UPPER_LOWER,Arquitectura Base / Fuerza Estructural,4,2 al 4,"Hipertrofia Funcional, Fuerza",Perfil tradicionalista. Valora la progresión lineal en patrones pesados y dispone de fines de semana para la recuperación completa.
ARQ_03_PPL,Hipertrofia Máxima / Culturismo,6,3 al 5,"Hipertrofia Extrema, Estética","Entusiasta dedicado. Alta resiliencia al daño muscular, capacidad superior de recuperación y necesidad intrínseca de asilar grupos musculares."
ARQ_04_GLUTE_FOCUS,Especialización Inferior / Curvas,4,2 al 5,Hipertrofia (Cadena Posterior),Orientado a la composición corporal contemporánea. Requiere asimetría de volumen para sobrecargar glúteos e isquiosurales.
ARQ_05_HOME_FIT,Condicionamiento Doméstico / Sin Equipo,3 a 5,1 al 3,"Salud General, Iniciación",Alta resistencia a gimnasios comerciales. Prefiere la privacidad. Depende del estrés metabólico para compensar la falta de carga externa.
ARQ_06_POWERBUILDING,Fuerza Bruta & Estética (PHUL),4,3 al 5,Fuerza Máxima e Hipertrofia,"Perfil analítico/competitivo. Quiere batir récords personales (1RM) en los básicos, pero sin abandonar el trabajo de aislamiento del culturismo."
ARQ_07_TIME_CRUNCH_2X,Dosis Mínima Viable (Fin de Semana),2,1 al 4,"Mantenimiento, Salud Base",Agenda impredecible. Requiere concentrar todo el volumen semanal efectivo en apenas dos sesiones intensas de cuerpo completo.
ARQ_08_METABOLIC_FAT_LOSS,Quema Metabólica Acelerada (MRT),3 a 4,2 al 4,"Pérdida de Grasa, Acondicionamiento",Orientado a resultados rápidos de composición corporal. Tolera la fatiga cardiovascular y busca alta densidad de trabajo con descansos mínimos.
ARQ_09_LONGEVITY_VITALITY,Entrenamiento para la Vida (Longevidad),2 a 3,1 al 3,"Estabilidad, Prevención de Caídas","Segmento maduro o preventivo. Prioriza el movimiento libre de dolor, la densidad ósea y el trabajo unilateral por sobre el peso extremo."
ARQ_10_FIELD_ATHLETE,Rendimiento Deportivo (Fútbol/Rugby),2 a 3,3 al 5,"Agilidad, Potencia, Velocidad",Atleta amateur/semi-profesional. Necesita trasladar la fuerza de la sala de pesas al campo mediante aceleración y absorción de fuerza.
ARQ_11_COMBAT_SPORTS,Atleta de Combate (MMA/Grappling),2 a 3,3 al 5,"Potencia Rotacional, Fuerza Base","Luchador. Requiere un desarrollo jerárquico: Fuerza Central > Potencia Explosiva > Trabajo Compensatorio (cuello, postura, agarre)."
