ID_Tag,Categoria,Texto_Boton_UI,Backend_Value,Impacto_Algoritmo,Target_Usuario
TAG_OBJ_01,Objetivo_Principal,📉 Quiero perder grasa y definir mi cuerpo,fat_loss,Pondera entrenadores de recomposición corporal; habilita módulos de déficit calórico.,B2C_Atleta
TAG_OBJ_02,Objetivo_Principal,💪 Busco ganar masa muscular y tamaño,hypertrophy,Incrementa ponderación de volumen de entrenamiento (series semanales) en el Swap Engine.,B2C_Atleta
TAG_OBJ_03,Objetivo_Principal,🏋️‍♂️ Quiero ser más fuerte y levantar pesado,strength_gain,Prioriza ejercicios compuestos multiarticulares y rangos de 1-5 repeticiones.,B2C_Atleta
TAG_OBJ_04,Objetivo_Principal,🏃‍♂️ Mejorar mi rendimiento deportivo general,athletic_performance,"Habilita ejercicios de potencia, pliometría y entrenadores de fuerza y acondicionamiento.",B2C_Atleta
TAG_OBJ_05,Objetivo_Principal,🍑 Quiero enfocarme en desarrollar mis glúteos,glute_specialization,Sobreescribe el algoritmo para aumentar la frecuencia de patrones de abducción y extensión de cadera.,B2C_Atleta
TAG_OBJ_06,Objetivo_Principal,"❤️ Recuperar mi salud, movilidad y longevidad",general_health,Limita la intensidad absoluta máxima (RPE alto); prioriza entrenadores holísticos.,B2C_Atleta
TAG_OBJ_07,Objetivo_Principal,🩹 Readaptarme tras una lesión o cirugía,rehabilitation,Activa restricciones duras de seguridad; empareja solo con especialistas clínicos.,B2C_Atleta
TAG_EXP_01,Nivel_Experiencia,"🌱 Soy totalmente nuevo, nunca he pisado un gym",exp_total_beginner,Filtra ejercicios de alta complejidad neurológica (ej. levantamientos olímpicos); asigna tutoriales obligatorios.,B2C_Atleta
TAG_EXP_02,Nivel_Experiencia,"🥉 Conozco lo básico, entreno de forma intermitente",exp_novice,Habilita progresiones lineales estándar y volumen moderado.,B2C_Atleta
TAG_EXP_03,Nivel_Experiencia,"🥈 Llevo tiempo entrenando, pero busco estructura",exp_intermediate,Desbloquea periodización ondulante diaria y técnicas de intensificación.,B2C_Atleta
TAG_EXP_04,Nivel_Experiencia,"🥇 Soy avanzado, necesito romper estancamientos",exp_advanced,Permite el acceso a todo el catálogo de ejercicios y programación concurrente compleja.,B2C_Atleta
TAG_EXP_05,Nivel_Experiencia,🏆 Soy atleta competitivo o profesional,exp_elite,Empareja exclusivamente con coaches de nivel élite que manejan métricas de velocidad y potencia.,B2C_Atleta
TAG_DIS_01,Disponibilidad_Dias,⏱️ Tengo poco tiempo (1 a 2 días por semana),freq_very_low,Configura el motor de rutinas para generar divisiones de cuerpo completo (Full Body).,B2C_Atleta
TAG_DIS_02,Disponibilidad_Dias,📅 Puedo organizarme para 3 días a la semana,freq_low,Configura divisiones Full Body o empuje/tracción híbridas.,B2C_Atleta
TAG_DIS_03,Disponibilidad_Dias,🗓️ Entrenaré 4 días a la semana sin falta,freq_medium,Configura divisiones Torso/Pierna estándar.,B2C_Atleta
TAG_DIS_04,Disponibilidad_Dias,🔥 Me comprometo a 5 o 6 días por semana,freq_high,Configura divisiones analíticas (Push/Pull/Legs o Body Part Split) gestionando solapamiento de fatiga.,B2C_Atleta
TAG_TIM_01,Tiempo_Sesion,⚡ Solo tengo 30 minutos o menos por sesión,time_under_30,"Activa circuitos, superseries antagonistas y descansos de alta densidad temporal.",B2C_Atleta
TAG_TIM_02,Tiempo_Sesion,⏳ Dispongo de 45 a 60 minutos,time_standard,Configura estructuras de series rectas con tiempos de descanso fisiológicos normales (90-120s).,B2C_Atleta
TAG_TIM_03,Tiempo_Sesion,"🕰️ No tengo prisa, más de 75 minutos",time_extended,Permite descanso completo del sistema nervioso (3-5 mins) para fuerza máxima.,B2C_Atleta
